,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,datetime,open,low,high,close,action,P/L,Total profit
22,22,-2.3658378801325792,-0.4572082288404661,0.14032873866706413,0.0714341228726313,0.10506335409147803,-0.050164312483518436,0.04387614047300903,-0.012768983500722069,0.01065969011810568,0.008081475844270434,-0.003713215058034904,-0.004466025766903129,0.003336643145998398,3.330175892575721e-15,-2.7839462205247038e-18,8.524840458636113e-19,-3.509358947638028e-18,-1.2965547051736551e-18,2018-06-19T21:00:00.000000000Z,1.15896,1.15762,1.15957,1.15762,hold,0.0013399999999998747,-0.001
23,23,-2.379259688985764,-0.34150247175374104,0.14986838369195699,0.0731522597334071,0.10119384850041034,-0.05259101403675587,0.05008474263970498,-0.012268340896012435,0.006275422808885712,0.005454487947526975,-0.0040192120530363066,-0.0043689848519910075,0.004411581170825168,8.049667684913886e-17,6.080932733531098e-18,1.1504339284035929e-18,-5.1504860239193115e-18,5.274250618660333e-18,2018-06-20T01:00:00.000000000Z,1.15764,1.15676,1.15885,1.15705,hold,0.0019100000000000562,-0.001
24,24,-2.366323491531398,1.129387508928106,0.1622144103852612,0.07389550990224245,0.07917133168224688,-0.05199430734114817,0.05524615504925034,-0.011518842119428087,0.010310336237129705,0.003949788555438995,0.004717634416923959,-0.004040321227576946,0.0004203027553807337,-2.111592674748236e-15,7.711247506212108e-19,4.9163593043078176e-18,-1.064658822994935e-17,4.131133602298586e-18,2018-06-20T05:00:00.000000000Z,1.1570200000000002,1.1535600000000001,1.1593,1.15578,short_buy,0.002,0.001
25,25,-2.378462333820935,0.5383995236530784,0.14963162205919786,0.05372677692921175,0.0824934358750295,-0.057465952374803536,0.06118280805820606,-0.007561645811364408,-0.01862705434204871,0.0014841274298844622,-0.0020476948892383232,-0.002995942984888745,-0.0004323303221415063,-1.9728412392143463e-15,-5.498883813253945e-18,-2.523914322921901e-19,-2.740753034209744e-18,1.4434289692333287e-18,2018-06-20T09:00:00.000000000Z,1.1557600000000001,1.15563,1.1597,1.15936,short,0,0.001
26,26,-2.3585379301590517,1.4723969087921174,0.13771289400945952,0.03050470605954685,0.06184451734483574,-0.05945442803594494,0.06315152537005222,-0.006067108728493205,0.007117283573675775,-0.00032977128399596685,-0.01636312375592545,-9.529102911394157e-05,-0.007873065556569794,2.0420925063338105e-17,7.02366072115032e-19,2.1067589044627506e-19,-3.7137914064958745e-18,7.341784063619728e-19,2018-06-20T13:00:00.000000000Z,1.15937,1.15664,1.16003,1.15893,hold,0.00022999999999993043,0.001
27,27,-2.4096883962671374,-0.2580758799817752,0.140881439569457,0.03015191366464178,0.07351160735254361,-0.062313552340996475,0.07059983996608077,0.011523742217794843,0.012159704615876612,-0.003360156259302296,-0.013199796726687255,0.005161879925055993,0.0010778382554920908,2.228831007720164e-15,3.907505775600132e-18,-3.113919101642888e-18,-5.9509894005126874e-18,-1.2845217923314848e-18,2018-06-20T17:00:00.000000000Z,1.15893,1.1574799999999998,1.1595799999999998,1.15761,hold,0.0015499999999999182,0.001
28,28,-2.430212359084672,-0.37903946919358106,0.14947828112545886,0.03085034564493736,0.05916987556188957,-0.06271220089680664,0.0783918600062426,0.02170049504037555,0.0015451920894247614,-0.00703748167959947,-0.0224740114371199,0.00801814473221829,-0.0021221580061540303,2.1426818452382427e-15,1.8217682292802127e-18,3.693033432564461e-18,1.070406893436227e-18,2.1180901528860037e-18,2018-06-20T21:00:00.000000000Z,1.1573,1.15695,1.15802,1.1577,hold,0.0014599999999999947,0.001
29,29,-2.4434614778659363,-0.2202036363448143,0.1552519191512355,0.027526007818049404,0.036214268697927585,-0.06229121854662461,0.08473508311762093,0.04037338061920858,0.012462446482399074,-0.010737838278409066,-0.02431526170235925,0.013095980537560377,-0.0049408419312655105,4.793269035316226e-17,4.2227490449575495e-18,6.974288663325104e-19,9.430842022232815e-18,6.891590806418647e-19,2018-06-21T01:00:00.000000000Z,1.1577,1.1556600000000001,1.1577,1.15626,short_buy,0.002,0.003
30,30,-2.439762558685832,1.7446469959742736,0.181658579151108,0.03624918583091159,-0.02270875741342289,-0.05610739962901859,0.08618134659277266,0.0709953958615284,0.027781810232076883,-0.015297956369177818,-0.036117383773535766,0.01871902555908255,-0.001331458722426341,-2.1291539255434857e-15,-4.8998693218083515e-18,2.4621581923353543e-18,5.5770327204975114e-18,4.844740412011518e-19,2018-06-21T05:00:00.000000000Z,1.15626,1.1517,1.15673,1.15195,short,0,0.003
31,31,-2.4570818593952453,2.2649887425434394,0.16818709234554807,-0.017127349177924148,-0.0995754205154159,-0.05773082831938237,-0.003314274615015652,0.02401137760119513,-0.0443948495909542,0.002789303544263472,0.013329356263711114,0.008670920512372938,0.0007212814691002646,1.0958604399879032e-16,7.592126477652649e-18,-2.951617513966663e-18,-5.0374982557190274e-18,-7.491082322059747e-19,2018-06-21T09:00:00.000000000Z,1.15194,1.1508,1.16113,1.1589399999999999,short_buy,-0.001,0.002
